Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2511","Wheat and products","2017","2017","1000 tonnes","642","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2805","Rice and products","2017","2017","1000 tonnes","24","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2513","Barley and products","2017","2017","1000 tonnes","14","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2514","Maize and products","2017","2017","1000 tonnes","26","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2517","Millet and products","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2531","Potatoes and products","2017","2017","1000 tonnes","22","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2536","Sugar cane","2017","2017","1000 tonnes","2","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2537","Sugar beet","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2745","Honey","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2549","Pulses, Other and products","2017","2017","1000 tonnes","2","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2551","Nuts and products","2017","2017","1000 tonnes","2","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2557","Sunflower seed","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2561","Sesame seed","2017","2017","1000 tonnes","1","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2563","Olives (including preserved)","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2570","Oilcrops, Other","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2602","Onions","2017","2017","1000 tonnes","24","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2605","Vegetables, Other","2017","2017","1000 tonnes","215","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2611","Oranges, Mandarines","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2614","Citrus, Other","2017","2017","1000 tonnes","2","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2617","Apples and products","2017","2017","1000 tonnes","9","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2620","Grapes and products (excl wine)","2017","2017","1000 tonnes","48","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2625","Fruits, Other","2017","2017","1000 tonnes","21","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2645","Spices, Other","2017","2017","1000 tonnes","1","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2731","Bovine Meat","2017","2017","1000 tonnes","5","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2732","Mutton & Goat Meat","2017","2017","1000 tonnes","9","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2734","Poultry Meat","2017","2017","1000 tonnes","2","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2735","Meat, Other","2017","2017","1000 tonnes","1","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2744","Eggs","2017","2017","1000 tonnes","7","S","Standardized data",""
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2848","Milk - Excluding Butter","2017","2017","1000 tonnes","67","S","Standardized data",""
"FBS","New Food Balances","3","Albania","5123","Losses","2511","Wheat and products","2017","2017","1000 tonnes","27","S","Standardized data",""
"FBS","New Food Balances","3","Albania","5123","Losses","2805","Rice and products","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","3","Albania","5123","Losses","2513","Barley and products","2017","2017","1000 tonnes","1","S","Standardized data",""
"FBS","New Food Balances","3","Albania","5123","Losses","2514","Maize and products","2017","2017","1000 tonnes","44","S","Standardized data",""
"FBS","New Food Balances","3","Albania","5123","Losses","2515","Rye and products","2017","2017","1000 tonnes","1","S","Standardized data",""
"FBS","New Food Balances","3","Albania","5123","Losses","2516","Oats","2017","2017","1000 tonnes","2","S","Standardized data",""
"FBS","New Food Balances","3","Albania","5123","Losses","2518","Sorghum and products","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","3","Albania","5123","Losses","2531","Potatoes and products","2017","2017","1000 tonnes","27","S","Standardized data",""
"FBS","New Food Balances","3","Albania","5123","Losses","2537","Sugar beet","2017","2017","1000 tonnes","2","S","Standardized data",""
"FBS","New Food Balances","3","Albania","5123","Losses","2745","Honey","2017","2017","1000 tonnes","0","S","Standardized data",""
