	Area Code	Area	Item	Year Code	Year	Unit	Value	latitude	longitude	country
0	2	Afghanistan	Wheat and products	2017	2017	1000 tonnes	642	33.93911	67.709953	AF
1	2	Afghanistan	Rice and products	2017	2017	1000 tonnes	24	33.93911	67.709953	AF
2	2	Afghanistan	Barley and products	2017	2017	1000 tonnes	14	33.93911	67.709953	AF
3	2	Afghanistan	Maize and products	2017	2017	1000 tonnes	26	33.93911	67.709953	AF
4	2	Afghanistan	Millet and products	2017	2017	1000 tonnes	0	33.93911	67.709953	AF
5	2	Afghanistan	Potatoes and products	2017	2017	1000 tonnes	22	33.93911	67.709953	AF
6	2	Afghanistan	Sugar cane	2017	2017	1000 tonnes	2	33.93911	67.709953	AF
7	2	Afghanistan	Sugar beet	2017	2017	1000 tonnes	0	33.93911	67.709953	AF
8	2	Afghanistan	Honey	2017	2017	1000 tonnes	0	33.93911	67.709953	AF
9	2	Afghanistan	Pulses, Other and products	2017	2017	1000 tonnes	2	33.93911	67.709953	AF
10	2	Afghanistan	Nuts and products	2017	2017	1000 tonnes	2	33.93911	67.709953	AF
11	2	Afghanistan	Sunflower seed	2017	2017	1000 tonnes	0	33.93911	67.709953	AF
12	2	Afghanistan	Sesame seed	2017	2017	1000 tonnes	1	33.93911	67.709953	AF
13	2	Afghanistan	Olives (including preserved)	2017	2017	1000 tonnes	0	33.93911	67.709953	AF
14	2	Afghanistan	Oilcrops, Other	2017	2017	1000 tonnes	0	33.93911	67.709953	AF
15	2	Afghanistan	Onions	2017	2017	1000 tonnes	24	33.93911	67.709953	AF
16	2	Afghanistan	Vegetables, Other	2017	2017	1000 tonnes	215	33.93911	67.709953	AF
17	2	Afghanistan	Oranges, Mandarines	2017	2017	1000 tonnes	0	33.93911	67.709953	AF
18	2	Afghanistan	Citrus, Other	2017	2017	1000 tonnes	2	33.93911	67.709953	AF
19	2	Afghanistan	Apples and products	2017	2017	1000 tonnes	9	33.93911	67.709953	AF
20	2	Afghanistan	Grapes and products (excl wine)	2017	2017	1000 tonnes	48	33.93911	67.709953	AF
21	2	Afghanistan	Fruits, Other	2017	2017	1000 tonnes	21	33.93911	67.709953	AF
22	2	Afghanistan	Spices, Other	2017	2017	1000 tonnes	1	33.93911	67.709953	AF
23	2	Afghanistan	Bovine Meat	2017	2017	1000 tonnes	5	33.93911	67.709953	AF
24	2	Afghanistan	Mutton & Goat Meat	2017	2017	1000 tonnes	9	33.93911	67.709953	AF
25	2	Afghanistan	Poultry Meat	2017	2017	1000 tonnes	2	33.93911	67.709953	AF
26	2	Afghanistan	Meat, Other	2017	2017	1000 tonnes	1	33.93911	67.709953	AF
27	2	Afghanistan	Eggs	2017	2017	1000 tonnes	7	33.93911	67.709953	AF
28	2	Afghanistan	Milk - Excluding Butter	2017	2017	1000 tonnes	67	33.93911	67.709953	AF
29	3	Albania	Wheat and products	2017	2017	1000 tonnes	27	41.153332	20.168331	AL
30	3	Albania	Rice and products	2017	2017	1000 tonnes	0	41.153332	20.168331	AL
31	3	Albania	Barley and products	2017	2017	1000 tonnes	1	41.153332	20.168331	AL
32	3	Albania	Maize and products	2017	2017	1000 tonnes	44	41.153332	20.168331	AL
33	3	Albania	Rye and products	2017	2017	1000 tonnes	1	41.153332	20.168331	AL
34	3	Albania	Oats	2017	2017	1000 tonnes	2	41.153332	20.168331	AL
35	3	Albania	Sorghum and products	2017	2017	1000 tonnes	0	41.153332	20.168331	AL
36	3	Albania	Potatoes and products	2017	2017	1000 tonnes	27	41.153332	20.168331	AL
37	3	Albania	Sugar beet	2017	2017	1000 tonnes	2	41.153332	20.168331	AL
38	3	Albania	Honey	2017	2017	1000 tonnes	0	41.153332	20.168331	AL
